Date,Account_ID,Scenario,Amount
2025-01-03,304,Budget,1240.6
2025-01-03,401,Actual,280.31
2025-01-03,401,Budget,330.53
2025-01-03,402,Actual,234.99
2025-01-03,402,Budget,239.35
2025-01-04,101,Actual,5892.79
2025-01-04,101,Budget,7052.04
2025-01-04,102,Actual,5162.34
2025-01-04,102,Budget,5543.8
2025-01-04,201,Actual,4528.12
2025-01-04,201,Budget,4275.86
2025-01-04,202,Actual,5776.04
2025-01-04,202,Budget,5480.09
2025-01-04,301,Actual,1899.1
2025-01-04,301,Budget,2060.92
2025-01-04,302,Actual,1453.93
2025-01-04,302,Budget,1287.89
2025-01-04,303,Actual,800.95
2025-01-04,303,Budget,761.9
2025-01-04,304,Actual,2187.83
2025-01-04,304,Budget,1954.68
2025-01-04,401,Actual,468.83
2025-01-04,401,Budget,436.32
2025-01-04,402,Actual,387.62
2025-01-04,402,Budget,415.15
2025-01-05,101,Actual,15578.17
2025-01-05,101,Budget,14073.67
2025-01-05,102,Actual,6848.55
2025-01-05,102,Budget,6515.08
2025-01-05,201,Actual,6909.98
2025-01-05,201,Budget,6250.7
2025-01-05,202,Actual,2772.65
2025-01-05,202,Budget,3358.07
2025-01-05,301,Actual,1254.11
2025-01-05,301,Budget,1268.15
2025-01-05,302,Actual,1718.21
2025-01-05,302,Budget,2039.8
2025-01-05,303,Actual,1762.48
2025-01-05,303,Budget,1577.24
2025-01-05,304,Actual,1237.64
2025-01-05,304,Budget,1364.5
2025-01-05,401,Actual,473.49
2025-01-05,401,Budget,471.44
2025-01-05,402,Actual,413.56
2025-01-05,402,Budget,452.24
2025-01-06,101,Actual,15497.39
2025-01-06,101,Budget,14126.53
2025-01-06,102,Actual,10475.69
2025-01-06,102,Budget,11589.74
2025-01-06,201,Actual,3739.95
2025-01-06,201,Budget,4623.5
2025-01-06,202,Actual,2997.63
2025-01-06,202,Budget,2781.03
2025-01-06,301,Actual,1721.79
2025-01-06,301,Budget,1616.19
2025-01-06,302,Actual,1191.73
2025-01-06,302,Budget,1258.66
2025-01-06,303,Actual,2096.92
2025-01-06,303,Budget,1868.91
2025-01-06,304,Actual,1837.74
2025-01-06,304,Budget,1745.68
2025-01-06,401,Actual,303.38
2025-01-06,401,Budget,283.77
2025-01-06,402,Actual,179.44
2025-01-06,402,Budget,205.07
2025-01-07,101,Actual,6181.92
2025-01-07,101,Budget,6365.12
2025-01-07,102,Actual,9355.18
2025-01-07,102,Budget,10867.76
2025-01-07,201,Actual,2742.22
2025-01-07,201,Budget,2667.54
2025-01-07,202,Actual,3503.65
2025-01-07,202,Budget,4494.13
2025-01-07,301,Actual,708.41
2025-01-07,301,Budget,846.54
2025-01-07,302,Actual,1665.52
2025-01-07,302,Budget,1912.73
2025-01-07,303,Actual,1167.78
2025-01-07,303,Budget,1281.72
2025-01-07,304,Actual,481.28
2025-01-07,304,Budget,588.37
2025-01-07,401,Actual,479.17
2025-01-07,401,Budget,449.46
2025-01-07,402,Actual,455.18
2025-01-07,402,Budget,501.39
2025-01-08,101,Actual,15489.48
2025-01-08,101,Budget,15032.17
2025-01-08,102,Actual,11912.84
2025-01-08,102,Budget,13443.56
2025-01-08,201,Actual,3338.53
2025-01-08,201,Budget,4163.54
2025-01-08,202,Actual,2111.57
2025-01-08,202,Budget,2365.6
2025-01-08,301,Actual,441.45
2025-01-08,301,Budget,549.6
2025-01-08,302,Actual,1261.1
2025-01-08,302,Budget,1495.59
2025-01-08,303,Actual,1951.68
2025-01-08,303,Budget,1827.01
2025-01-08,304,Actual,494.94
2025-01-08,304,Budget,630.37
2025-01-08,401,Actual,271.37
2025-01-08,401,Budget,276.66
2025-01-08,402,Actual,298.47
2025-01-08,402,Budget,355.35
2025-01-09,101,Actual,9510.37
2025-01-09,101,Budget,9241.57
2025-01-09,102,Actual,14543.84
2025-01-09,102,Budget,15552.7
2025-01-09,201,Actual,2192.52
2025-01-09,201,Budget,2738.38
2025-01-09,202,Actual,4044.73
2025-01-09,202,Budget,4559.65
2025-01-09,301,Actual,1247.85
2025-01-09,301,Budget,1218.56
2025-01-09,302,Actual,1598.25
2025-01-09,302,Budget,2062.18
2025-01-09,303,Actual,1695.38
2025-01-09,303,Budget,1783.29
2025-01-09,304,Actual,907.92
2025-01-09,304,Budget,840.22
2025-01-09,401,Actual,252.55
2025-01-09,401,Budget,274.37
2025-01-09,402,Actual,506.87
2025-01-09,402,Budget,492.69
2025-01-10,101,Actual,13567.06
2025-01-10,101,Budget,12170.34
2025-01-10,102,Actual,6509.56
2025-01-10,102,Budget,6000.1
2025-01-10,201,Actual,3318.22
2025-01-10,201,Budget,4010.14
2025-01-10,202,Actual,2306.18
2025-01-10,202,Budget,2189.41
2025-01-10,301,Actual,986.86
2025-01-10,301,Budget,1209.48
2025-01-10,302,Actual,1296.82
2025-01-10,302,Budget,1598.07
2025-01-10,303,Actual,1594.33
2025-01-10,303,Budget,1479.7
2025-01-10,304,Actual,1195.7
2025-01-10,304,Budget,1228.14
2025-01-10,401,Actual,534.1
2025-01-10,401,Budget,484.29
2025-01-10,402,Actual,464.38
2025-01-10,402,Budget,513.87
2025-01-11,101,Actual,13648.87
2025-01-11,101,Budget,14996.91
2025-01-11,102,Actual,14242.23
2025-01-11,102,Budget,13650.23
2025-01-11,201,Actual,3124.87
2025-01-11,201,Budget,3488.08
2025-01-11,202,Actual,4194.6
2025-01-11,202,Budget,4483.2
2025-01-11,301,Actual,1709.88
2025-01-11,301,Budget,1498.39
2025-01-11,302,Actual,776.19
2025-01-11,302,Budget,1004.73
2025-01-11,303,Actual,723.79
2025-01-11,303,Budget,638.99
2025-01-11,304,Actual,1134.6
2025-01-11,304,Budget,1074.34
2025-01-11,401,Actual,179.7
2025-01-11,401,Budget,202.33
2025-01-11,402,Actual,254.2
2025-01-11,402,Budget,320.68
2025-01-12,101,Actual,9321.19
2025-01-12,101,Budget,10284.46
2025-01-12,102,Actual,13771.55
2025-01-12,102,Budget,12658.2
2025-01-12,201,Actual,2205.82
2025-01-12,201,Budget,2714.97
2025-01-12,202,Actual,2183.96
2025-01-12,202,Budget,2455.84
2025-01-12,301,Actual,2241.34
2025-01-12,301,Budget,2029.44
2025-01-12,302,Actual,692.42
2025-01-12,302,Budget,664.21
2025-01-12,303,Actual,744.3
2025-01-12,303,Budget,817.2
2025-01-12,304,Actual,975.39
2025-01-12,304,Budget,939.96
2025-01-12,401,Actual,110.99
2025-01-12,401,Budget,122.39
2025-01-12,402,Actual,231.6
2025-01-12,402,Budget,246.63
2025-01-13,101,Actual,15443.49
2025-01-13,101,Budget,15201.66
2025-01-13,102,Actual,4455.89
2025-01-13,102,Budget,5307.28
2025-01-13,201,Actual,3478.57
2025-01-13,201,Budget,3787.45
2025-01-13,202,Actual,4710.6
2025-01-13,202,Budget,6066.75
2025-01-13,301,Actual,1805.66
2025-01-13,301,Budget,1705.4
2025-01-13,302,Actual,1066.9
2025-01-13,302,Budget,1252.93
2025-01-13,303,Actual,571.64
2025-01-13,303,Budget,707.33
2025-01-13,304,Actual,1280.83
2025-01-13,304,Budget,1425.54
2025-01-13,401,Actual,167.39
2025-01-13,401,Budget,169.04
2025-01-13,402,Actual,398.92
2025-01-13,402,Budget,450.8
2025-01-14,101,Actual,12841.22
2025-01-14,101,Budget,13792.89
2025-01-14,102,Actual,10384.65
2025-01-14,102,Budget,10257.01
2025-01-14,201,Actual,3887.42
2025-01-14,201,Budget,4001.1
2025-01-14,202,Actual,3774.37
2025-01-14,202,Budget,4797.39
2025-01-14,301,Actual,796.5
2025-01-14,301,Budget,775.67
2025-01-14,302,Actual,1909.12
2025-01-14,302,Budget,1835.81
2025-01-14,303,Actual,619.09
2025-01-14,303,Budget,790.69
2025-01-14,304,Actual,1017.68
2025-01-14,304,Budget,976.89
2025-01-14,401,Actual,325.34
2025-01-14,401,Budget,327.93
2025-01-14,402,Actual,368.65
2025-01-14,402,Budget,403.18
2025-01-15,101,Actual,7574.84
2025-01-15,101,Budget,8732.59
2025-01-15,102,Actual,10652.72
2025-01-15,102,Budget,11320.48
2025-01-15,201,Actual,2098.88
2025-01-15,201,Budget,2751.05
2025-01-15,202,Actual,3345.8
2025-01-15,202,Budget,3859.64
2025-01-15,301,Actual,605.62
2025-01-15,301,Budget,638.41
2025-01-15,302,Actual,1621.45
2025-01-15,302,Budget,1763.59
2025-01-15,303,Actual,800.41
2025-01-15,303,Budget,820.04
2025-01-15,304,Actual,1173.29
2025-01-15,304,Budget,1393.14
2025-01-15,401,Actual,118.48
2025-01-15,401,Budget,125.1
2025-01-15,402,Actual,440.59
2025-01-15,402,Budget,480.33
2025-01-16,101,Actual,7701.44
2025-01-16,101,Budget,6787.7
2025-01-16,102,Actual,12196.98
2025-01-16,102,Budget,14064.27
2025-01-16,201,Actual,1769.5
2025-01-16,201,Budget,2190.07
2025-01-16,202,Actual,3154.04
2025-01-16,202,Budget,4062.31
2025-01-16,301,Actual,894.8
2025-01-16,301,Budget,890.15
2025-01-16,302,Actual,1545.45
2025-01-16,302,Budget,1515.58
2025-01-16,303,Actual,560.47
2025-01-16,303,Budget,623.03
2025-01-16,304,Actual,1489.05
2025-01-16,304,Budget,1615.9
2025-01-16,401,Actual,271.11
2025-01-16,401,Budget,261.94
2025-01-16,402,Actual,114.65
2025-01-16,402,Budget,108.48
2025-01-17,101,Actual,12616.87
2025-01-17,101,Budget,11209.98
2025-01-17,102,Actual,12086.06
2025-01-17,102,Budget,14272.15
2025-01-17,201,Actual,4487.68
2025-01-17,201,Budget,4472.84
2025-01-17,202,Actual,3012.25
2025-01-17,202,Budget,3223.69
2025-01-17,301,Actual,1313.4
2025-01-17,301,Budget,1431.78
2025-01-17,302,Actual,1024.49
2025-01-17,302,Budget,1338.54
2025-01-17,303,Actual,1676.38
2025-01-17,303,Budget,1618.48
2025-01-17,304,Actual,1952.59
2025-01-17,304,Budget,1784.54
2025-01-17,401,Actual,359.86
2025-01-17,401,Budget,367.74
2025-01-17,402,Actual,238.11
2025-01-17,402,Budget,250.38
2025-01-18,101,Actual,7347.0
2025-01-18,101,Budget,8218.03
2025-01-18,102,Actual,9777.14
2025-01-18,102,Budget,9415.93
2025-01-18,201,Actual,2424.08
2025-01-18,201,Budget,2526.09
2025-01-18,202,Actual,2292.87
2025-01-18,202,Budget,2257.13
2025-01-18,301,Actual,838.57
2025-01-18,301,Budget,788.17
2025-01-18,302,Actual,463.71
2025-01-18,302,Budget,595.39
2025-01-18,303,Actual,965.87
2025-01-18,303,Budget,946.95
2025-01-18,304,Actual,1384.06
2025-01-18,304,Budget,1310.83
2025-01-18,401,Actual,401.47
2025-01-18,401,Budget,374.51
2025-01-18,402,Actual,160.13
2025-01-18,402,Budget,161.18
2025-01-19,101,Actual,7900.92
2025-01-19,101,Budget,7445.75
2025-01-19,102,Actual,13713.82
2025-01-19,102,Budget,15693.54
2025-01-19,201,Actual,4084.33
2025-01-19,201,Budget,3792.49
2025-01-19,202,Actual,6390.52
2025-01-19,202,Budget,5855.97
2025-01-19,301,Actual,1367.03
2025-01-19,301,Budget,1716.74
2025-01-19,302,Actual,1168.37
2025-01-19,302,Budget,1305.45
2025-01-19,303,Actual,1283.53
2025-01-19,303,Budget,1649.59
2025-01-19,304,Actual,1920.72
2025-01-19,304,Budget,1684.47
2025-01-19,401,Actual,420.83
2025-01-19,401,Budget,504.87
2025-01-19,402,Actual,353.62
2025-01-19,402,Budget,333.48
2025-01-20,101,Actual,14725.42
2025-01-20,101,Budget,13299.91
2025-01-20,102,Actual,16951.35
2025-01-20,102,Budget,15476.2
2025-01-20,201,Actual,3793.13
2025-01-20,201,Budget,4091.41
2025-01-20,202,Actual,3211.43
2025-01-20,202,Budget,3546.41
2025-01-20,301,Actual,2031.93
2025-01-20,301,Budget,1986.2
2025-01-20,302,Actual,531.76
2025-01-20,302,Budget,671.11
2025-01-20,303,Actual,1264.77
2025-01-20,303,Budget,1259.76
2025-01-20,304,Actual,1030.97
2025-01-20,304,Budget,1108.19
2025-01-20,401,Actual,235.67
2025-01-20,401,Budget,238.67
2025-01-20,402,Actual,415.98
2025-01-20,402,Budget,366.75
2025-01-21,101,Actual,14647.02
2025-01-21,101,Budget,13875.01
2025-01-21,102,Actual,11844.04
2025-01-21,102,Budget,13224.43
2025-01-21,201,Actual,5303.67
2025-01-21,201,Budget,6248.73
2025-01-21,202,Actual,2533.25
2025-01-21,202,Budget,3249.87
2025-01-21,301,Actual,1012.39
2025-01-21,301,Budget,918.69
2025-01-21,302,Actual,1130.36
2025-01-21,302,Budget,1348.24
2025-01-21,303,Actual,737.4
2025-01-21,303,Budget,665.53
2025-01-21,304,Actual,1346.42
2025-01-21,304,Budget,1622.33
2025-01-21,401,Actual,287.39
2025-01-21,401,Budget,310.51
2025-01-21,402,Actual,365.64
2025-01-21,402,Budget,373.31
2025-01-22,101,Actual,11181.54
2025-01-22,101,Budget,14095.09
2025-01-22,102,Actual,7084.57
2025-01-22,102,Budget,6939.28
2025-01-22,201,Actual,2935.04
2025-01-22,201,Budget,3649.68
2025-01-22,202,Actual,2444.01
2025-01-22,202,Budget,2516.11
2025-01-22,301,Actual,1578.97
2025-01-22,301,Budget,1715.84
2025-01-22,302,Actual,1909.24
2025-01-22,302,Budget,1727.94
2025-01-22,303,Actual,1522.83
2025-01-22,303,Budget,1553.62
2025-01-22,304,Actual,921.98
2025-01-22,304,Budget,1010.28
2025-01-22,401,Actual,358.2
2025-01-22,401,Budget,361.21
2025-01-22,402,Actual,405.93
2025-01-22,402,Budget,372.14
2025-01-23,101,Actual,12631.84
2025-01-23,101,Budget,12097.17
2025-01-23,102,Actual,7143.56
2025-01-23,102,Budget,8055.95
2025-01-23,201,Actual,3007.38
2025-01-23,201,Budget,2957.14
2025-01-23,202,Actual,3766.91
2025-01-23,202,Budget,3708.17
2025-01-23,301,Actual,998.56
2025-01-23,301,Budget,879.69
2025-01-23,302,Actual,1718.38
2025-01-23,302,Budget,1574.06
2025-01-23,303,Actual,707.9
2025-01-23,303,Budget,712.25
2025-01-23,304,Actual,867.76
2025-01-23,304,Budget,974.06
2025-01-23,401,Actual,188.25
2025-01-23,401,Budget,231.73
2025-01-23,402,Actual,428.34
2025-01-23,402,Budget,493.02
2025-01-24,101,Actual,10998.14
2025-01-24,101,Budget,11906.68
2025-01-24,102,Actual,14111.91
2025-01-24,102,Budget,14341.62
2025-01-24,201,Actual,1862.83
2025-01-24,201,Budget,2285.9
2025-01-24,202,Actual,3417.8
2025-01-24,202,Budget,3233.6
2025-01-24,301,Actual,1702.55
2025-01-24,301,Budget,2080.85
2025-01-24,302,Actual,1010.52
2025-01-24,302,Budget,1142.67
2025-01-24,303,Actual,1670.24
2025-01-24,303,Budget,1820.42
2025-01-24,304,Actual,1970.4
2025-01-24,304,Budget,1871.99
2025-01-24,401,Actual,131.09
2025-01-24,401,Budget,146.1
2025-01-24,402,Actual,393.78
2025-01-24,402,Budget,368.76
2025-01-25,101,Actual,6247.52
2025-01-25,101,Budget,7176.97
2025-01-25,102,Actual,6218.64
2025-01-25,102,Budget,7220.62
2025-01-25,201,Actual,4285.38
2025-01-25,201,Budget,5612.1
2025-01-25,202,Actual,2134.58
2025-01-25,202,Budget,2202.26
2025-01-25,301,Actual,1330.73
2025-01-25,301,Budget,1299.39
2025-01-25,302,Actual,752.47
2025-01-25,302,Budget,805.35
2025-01-25,303,Actual,730.13
2025-01-25,303,Budget,712.61
2025-01-25,304,Actual,1218.93
2025-01-25,304,Budget,1279.52
2025-01-25,401,Actual,403.06
2025-01-25,401,Budget,441.84
2025-01-25,402,Actual,414.26
2025-01-25,402,Budget,378.22
2025-01-26,101,Actual,9897.56
2025-01-26,101,Budget,10328.87
2025-01-26,102,Actual,8521.5
2025-01-26,102,Budget,9201.04
2025-01-26,201,Actual,3578.35
2025-01-26,201,Budget,3208.47
2025-01-26,202,Actual,6346.42
2025-01-26,202,Budget,5599.02
2025-01-26,301,Actual,1346.07
2025-01-26,301,Budget,1219.79
2025-01-26,302,Actual,717.02
2025-01-26,302,Budget,753.05
2025-01-26,303,Actual,1307.68
2025-01-26,303,Budget,1707.3
2025-01-26,304,Actual,1449.95
2025-01-26,304,Budget,1754.66
2025-01-26,401,Actual,142.52
2025-01-26,401,Budget,151.88
2025-01-26,402,Actual,379.2
2025-01-26,402,Budget,358.08
2025-01-27,101,Actual,10909.88
2025-01-27,101,Budget,14275.26
2025-01-27,102,Actual,14635.02
2025-01-27,102,Budget,13088.83
2025-01-27,201,Actual,2988.41
2025-01-27,201,Budget,2862.03
2025-01-27,202,Actual,2788.69
2025-01-27,202,Budget,2575.95
2025-01-27,301,Actual,1844.36
2025-01-27,301,Budget,1777.21
2025-01-27,302,Actual,1476.61
2025-01-27,302,Budget,1437.24
2025-01-27,303,Actual,2027.89
2025-01-27,303,Budget,1966.96
2025-01-27,304,Actual,619.78
2025-01-27,304,Budget,705.6
2025-01-27,401,Actual,487.39
2025-01-27,401,Budget,449.44
2025-01-27,402,Actual,328.36
2025-01-27,402,Budget,365.51
2025-01-28,101,Actual,13418.63
2025-01-28,101,Budget,13327.83
2025-01-28,102,Actual,15932.58
2025-01-28,102,Budget,14814.42
2025-01-28,201,Actual,2424.8
2025-01-28,201,Budget,2903.38
2025-01-28,202,Actual,2873.14
2025-01-28,202,Budget,3219.28
2025-01-28,301,Actual,563.87
2025-01-28,301,Budget,634.89
2025-01-28,302,Actual,561.42
2025-01-28,302,Budget,584.09
2025-01-28,303,Actual,1535.38
2025-01-28,303,Budget,1395.54
2025-01-28,304,Actual,733.01
2025-01-28,304,Budget,776.48
2025-01-28,401,Actual,431.13
2025-01-28,401,Budget,518.37
2025-01-28,402,Actual,298.12
2025-01-28,402,Budget,274.2
2025-01-29,101,Actual,12206.2
2025-01-29,101,Budget,12729.36
2025-01-29,102,Actual,6053.29
2025-01-29,102,Budget,7605.62
2025-01-29,201,Actual,6622.0
2025-01-29,201,Budget,6232.52
2025-01-29,202,Actual,5388.86
2025-01-29,202,Budget,5509.63
2025-01-29,301,Actual,1032.0
2025-01-29,301,Budget,937.42
2025-01-29,302,Actual,1182.58
2025-01-29,302,Budget,1195.96
2025-01-29,303,Actual,1303.11
2025-01-29,303,Budget,1160.34
2025-01-29,304,Actual,1601.82
2025-01-29,304,Budget,1828.49
2025-01-29,401,Actual,103.97
2025-01-29,401,Budget,125.15
2025-01-29,402,Actual,412.04
2025-01-29,402,Budget,484.38
2025-01-30,101,Actual,6093.98
2025-01-30,101,Budget,6749.5
2025-01-30,102,Actual,11419.62
2025-01-30,102,Budget,14858.27
2025-01-30,201,Actual,4119.7
2025-01-30,201,Budget,4361.41
2025-01-30,202,Actual,5024.09
2025-01-30,202,Budget,4759.01
2025-01-30,301,Actual,1076.9
2025-01-30,301,Budget,1005.54
2025-01-30,302,Actual,513.07
2025-01-30,302,Budget,615.55
2025-01-30,303,Actual,1263.08
2025-01-30,303,Budget,1279.41
2025-01-30,304,Actual,1046.56
2025-01-30,304,Budget,976.06
2025-01-30,401,Actual,361.23
2025-01-30,401,Budget,394.81
2025-01-30,402,Actual,391.22
2025-01-30,402,Budget,351.15
2025-01-31,101,Actual,9762.27
2025-01-31,101,Budget,10933.68
2025-01-31,102,Actual,10827.76
2025-01-31,102,Budget,11561.92
2025-01-31,201,Actual,4718.0
2025-01-31,201,Budget,4900.91
2025-01-31,202,Actual,4709.91
2025-01-31,202,Budget,5145.71
2025-01-31,301,Actual,1956.3
2025-01-31,301,Budget,1783.43
2025-01-31,302,Actual,1703.76
2025-01-31,302,Budget,1635.55
2025-01-31,303,Actual,803.62
2025-01-31,303,Budget,713.85
2025-01-31,304,Actual,1365.92
2025-01-31,304,Budget,1310.15
2025-01-31,401,Actual,396.82
2025-01-31,401,Budget,389.03
2025-01-31,402,Actual,152.53
2025-01-31,402,Budget,158.19
2025-02-01,101,Actual,9235.64
2025-02-01,101,Budget,11794.44
2025-02-01,102,Actual,12681.46
2025-02-01,102,Budget,11435.13
2025-02-01,201,Actual,6866.79
2025-02-01,201,Budget,6237.56
2025-02-01,202,Actual,4610.94
2025-02-01,202,Budget,4931.13
2025-02-01,301,Actual,1919.43
2025-02-01,301,Budget,2046.21
2025-02-01,302,Actual,1119.96
2025-02-01,302,Budget,1206.14
2025-02-01,303,Actual,1883.45
2025-02-01,303,Budget,2097.9
2025-02-01,304,Actual,1542.02
2025-02-01,304,Budget,1920.42
2025-02-01,401,Actual,144.4
2025-02-01,401,Budget,175.11
2025-02-01,402,Actual,401.95
2025-02-01,402,Budget,500.33
2025-02-02,101,Actual,15812.22
2025-02-02,101,Budget,14004.82
2025-02-02,102,Actual,15455.73
2025-02-02,102,Budget,15684.94
2025-02-02,201,Actual,2467.05
2025-02-02,201,Budget,2339.84
2025-02-02,202,Actual,2120.73
2025-02-02,202,Budget,2549.2
2025-02-02,301,Actual,575.91
2025-02-02,301,Budget,576.95
2025-02-02,302,Actual,996.79
2025-02-02,302,Budget,1101.58
2025-02-02,303,Actual,726.94
2025-02-02,303,Budget,740.24
2025-02-02,304,Actual,2144.03
2025-02-02,304,Budget,1966.17
2025-02-02,401,Actual,163.43
2025-02-02,401,Budget,180.55
2025-02-02,402,Actual,338.45
2025-02-02,402,Budget,313.64
2025-02-03,101,Actual,9880.55
2025-02-03,101,Budget,9919.54
2025-02-03,102,Actual,15547.46
2025-02-03,102,Budget,14006.48
2025-02-03,201,Actual,3101.2
2025-02-03,201,Budget,3023.85
2025-02-03,202,Actual,2044.96
2025-02-03,202,Budget,2510.68
2025-02-03,301,Actual,1920.5
2025-02-03,301,Budget,1799.34
2025-02-03,302,Actual,1540.96
2025-02-03,302,Budget,1869.09
2025-02-03,303,Actual,1032.11
2025-02-03,303,Budget,1349.83
2025-02-03,304,Actual,501.62
2025-02-03,304,Budget,633.03
2025-02-03,401,Actual,343.14
2025-02-03,401,Budget,393.03
2025-02-03,402,Actual,336.77
2025-02-03,402,Budget,313.09
2025-02-04,101,Actual,7398.53
2025-02-04,101,Budget,7109.06
2025-02-04,102,Actual,15031.35
2025-02-04,102,Budget,14762.11
2025-02-04,201,Actual,4926.98
2025-02-04,201,Budget,6193.67
2025-02-04,202,Actual,2837.5
2025-02-04,202,Budget,3008.86
2025-02-04,301,Actual,1613.77
2025-02-04,301,Budget,1662.28
2025-02-04,302,Actual,647.85
2025-02-04,302,Budget,817.38
2025-02-04,303,Actual,646.11
2025-02-04,303,Budget,758.57
2025-02-04,304,Actual,708.84
2025-02-04,304,Budget,826.9
2025-02-04,401,Actual,179.61
2025-02-04,401,Budget,189.4
2025-02-04,402,Actual,343.91
2025-02-04,402,Budget,373.21
2025-02-05,101,Actual,11270.55
2025-02-05,101,Budget,10346.34
2025-02-05,102,Actual,7127.71
2025-02-05,102,Budget,8538.79
2025-02-05,201,Actual,3777.95
2025-02-05,201,Budget,3775.81
2025-02-05,202,Actual,4272.94
2025-02-05,202,Budget,3769.92
2025-02-05,301,Actual,846.13
2025-02-05,301,Budget,769.53
2025-02-05,302,Actual,540.05
2025-02-05,302,Budget,542.91
2025-02-05,303,Actual,2017.23
2025-02-05,303,Budget,2061.32
2025-02-05,304,Actual,1586.67
2025-02-05,304,Budget,2047.42
2025-02-05,401,Actual,152.27
2025-02-05,401,Budget,167.64
2025-02-05,402,Actual,271.76
2025-02-05,402,Budget,256.37
2025-02-06,101,Actual,7713.5
2025-02-06,101,Budget,8053.66
2025-02-06,102,Actual,11867.99
2025-02-06,102,Budget,15200.22
2025-02-06,201,Actual,2837.68
2025-02-06,201,Budget,3033.87
2025-02-06,202,Actual,2423.74
2025-02-06,202,Budget,2157.52
2025-02-06,301,Actual,594.4
2025-02-06,301,Budget,534.95
2025-02-06,302,Actual,978.43
2025-02-06,302,Budget,955.11
2025-02-06,303,Actual,1967.44
2025-02-06,303,Budget,1893.04
2025-02-06,304,Actual,1980.26
2025-02-06,304,Budget,1792.44
2025-02-06,401,Actual,152.79
2025-02-06,401,Budget,156.02
2025-02-06,402,Actual,417.27
2025-02-06,402,Budget,421.86
2025-02-07,101,Actual,7221.02
2025-02-07,101,Budget,9467.52
2025-02-07,102,Actual,12316.2
2025-02-07,102,Budget,13039.98
2025-02-07,201,Actual,5323.07
2025-02-07,201,Budget,4927.2
2025-02-07,202,Actual,3783.66
2025-02-07,202,Budget,4267.89
2025-02-07,301,Actual,1234.72
2025-02-07,301,Budget,1089.99
2025-02-07,302,Actual,1149.2
2025-02-07,302,Budget,1182.78
2025-02-07,303,Actual,1847.16
2025-02-07,303,Budget,1862.81
2025-02-07,304,Actual,1294.25
2025-02-07,304,Budget,1660.31
2025-02-07,401,Actual,258.56
2025-02-07,401,Budget,268.05
2025-02-07,402,Actual,418.67
2025-02-07,402,Budget,389.1
2025-02-08,101,Actual,5233.84
2025-02-08,101,Budget,6175.79
2025-02-08,102,Actual,10853.22
2025-02-08,102,Budget,11555.24
2025-02-08,201,Actual,4946.08
2025-02-08,201,Budget,4641.09
2025-02-08,202,Actual,5196.55
2025-02-08,202,Budget,5194.14
2025-02-08,301,Actual,1029.51
2025-02-08,301,Budget,1347.6
2025-02-08,302,Actual,2049.5
2025-02-08,302,Budget,1865.69
2025-02-08,303,Actual,988.88
2025-02-08,303,Budget,1127.9
2025-02-08,304,Actual,612.64
2025-02-08,304,Budget,603.18
2025-02-08,401,Actual,439.02
2025-02-08,401,Budget,391.32
2025-02-08,402,Actual,239.18
2025-02-08,402,Budget,223.93
2025-02-09,101,Actual,6371.98
2025-02-09,101,Budget,6032.27
2025-02-09,102,Actual,10897.22
2025-02-09,102,Budget,9725.26
2025-02-09,201,Actual,4270.73
2025-02-09,201,Budget,4559.43
2025-02-09,202,Actual,4130.09
2025-02-09,202,Budget,4311.31
2025-02-09,301,Actual,2002.54
2025-02-09,301,Budget,1840.16
